#  step      rmse_trn    rmse_e_trn    rmse_f_trn         lr
      0      5.83e+00      1.48e-01      1.84e-01    1.0e-03
    100      6.09e+00      2.49e-02      1.93e-01    1.0e-03
    200      3.23e+00      1.09e-01      1.02e-01    1.0e-03
    300      8.06e+00      1.75e-02      2.55e-01    1.0e-03
    400      1.05e+01      7.08e-02      3.33e-01    1.0e-03
    500      7.20e+00      8.28e-03      2.28e-01    1.0e-03
    600      4.13e+00      9.54e-03      1.30e-01    1.0e-03
    700      3.95e+00      2.06e-02      1.25e-01    1.0e-03
    800      4.12e+00      3.58e-02      1.30e-01    1.0e-03
    900      5.80e+00      9.16e-02      1.83e-01    1.0e-03
   1000      3.38e+00      1.62e-01      1.07e-01    1.0e-03
   1100      3.64e+00      7.19e-02      1.15e-01    1.0e-03
   1200      5.80e+00      1.01e-01      1.83e-01    1.0e-03
   1300      3.29e+00      3.78e-02      1.04e-01    1.0e-03
   1400      3.48e+00      7.39e-02      1.10e-01    1.0e-03
   1500      4.38e+00      9.49e-02      1.39e-01    1.0e-03
   1600      4.24e+00      3.53e-02      1.34e-01    1.0e-03
   1700      4.68e+00      1.41e-02      1.48e-01    1.0e-03
   1800      3.05e+00      2.30e-02      9.64e-02    1.0e-03
   1900      3.47e+00      4.17e-02      1.10e-01    1.0e-03
   2000      3.07e+00      3.28e-03      9.71e-02    1.0e-03
   2100      6.01e+00      4.13e-02      1.90e-01    1.0e-03
   2200      2.50e+00      5.89e-02      7.92e-02    1.0e-03
   2300      2.68e+00      8.85e-03      8.46e-02    1.0e-03
   2400      3.27e+00      4.57e-02      1.03e-01    1.0e-03
   2500      1.60e+00      1.21e-02      5.05e-02    1.0e-03
   2600      3.40e+00      1.20e-02      1.07e-01    1.0e-03
   2700      2.84e+00      5.20e-03      8.98e-02    1.0e-03
   2800      1.99e+00      1.43e-02      6.28e-02    1.0e-03
   2900      2.52e+00      1.56e-02      7.98e-02    1.0e-03
   3000      1.89e+00      4.14e-03      6.14e-02    9.5e-04
   3100      1.46e+00      4.55e-04      4.74e-02    9.5e-04
   3200      1.86e+00      1.14e-02      6.03e-02    9.5e-04
   3300      2.41e+00      1.62e-03      7.83e-02    9.5e-04
   3400      2.21e+00      1.53e-02      7.18e-02    9.5e-04
   3500      1.74e+00      1.29e-02      5.66e-02    9.5e-04
   3600      1.41e+00      8.20e-03      4.58e-02    9.5e-04
   3700      2.13e+00      1.69e-02      6.91e-02    9.5e-04
   3800      2.29e+00      1.17e-02      7.45e-02    9.5e-04
   3900      1.15e+00      3.44e-03      3.72e-02    9.5e-04
   4000      2.49e+00      9.69e-03      8.08e-02    9.5e-04
   4100      2.90e+00      4.55e-03      9.41e-02    9.5e-04
   4200      2.19e+00      6.02e-03      7.12e-02    9.5e-04
   4300      2.71e+00      6.75e-03      8.80e-02    9.5e-04
   4400      1.54e+00      8.44e-03      4.98e-02    9.5e-04
   4500      2.69e+00      5.07e-03      8.72e-02    9.5e-04
   4600      1.98e+00      3.24e-03      6.42e-02    9.5e-04
   4700      2.15e+00      2.16e-02      6.99e-02    9.5e-04
   4800      3.30e+00      1.18e-02      1.07e-01    9.5e-04
   4900      1.91e+00      6.63e-03      6.21e-02    9.5e-04
   5000      3.06e+00      7.04e-03      9.93e-02    9.5e-04
